id_parlamentar_parlametria,id_proposicao,casa
174230,efe8ebf985e4d5c1272841e27b9f7e9f,camara
174235,f2c29f05b428671905d898597aef608f,camara
174297,efe8ebf985e4d5c1272841e27b9f7e9f,camara
174317,39f5891d7bd0b7907d2118139dfb1912,camara
174317,5175aa16260ec51c9638958b632adcb3,camara
174327,9d362bc498315364b3f36c322a7ca849,camara
174327,f2d2c5386c8c09d26f45c9f06f1759b2,camara
174356,f2c29f05b428671905d898597aef608f,camara
174366,047197c6625748f7bd70093da7a70dbf,camara
174366,5bac63e76ffeab7049afbabb9354c53b,camara
174366,d5d1a579ad8a7733803d6a477c34f121,camara
174467,901ea08b30f5af43b3da90511ece62ff,camara
174471,38ef00b649ac62166d22bff82f3a63ef,camara
174471,bf906e4e69a3f0864cf079fc194eed1b,camara
174655,660c2206d21fee4c2e97bdee149a5018,camara
174765,808d2dec18bd60f246edc20df1cbe442,camara
174838,f818cfd11513f851b61a064bc28f29aa,camara
174842,870f208aac3f2ab198e962849fca98ad,camara
174848,978687bed9e449280c2449365c16625f,camara
180920,bf906e4e69a3f0864cf079fc194eed1b,camara
192346,4b4e67d20be9ae6aa4cbce88d18d0478,camara
192346,70273486ab6f0eef25ca493b5bc6f2bc,camara
192699,47f9307e3b4a113f65dd3a1b77a22930,camara
193083,e39c6a8c3dee62975ea0e6d79ddd0ee2,camara
198057,3e8950044cb3764f05e0a1ad2456d734,camara
198057,d50e1e64f5a683a1e085e0a1060cc78d,camara
1118594,f2c29f05b428671905d898597aef608f,camara
1122158,dea3cc9f88092539c590a6102d5751a1,camara
1124411,bf906e4e69a3f0864cf079fc194eed1b,camara
1133439,76f4a4e8c75077c80a2346f9ce1879df,camara
1137070,829affbd254b5e25303c115ff6ead244,camara
1141391,f2c29f05b428671905d898597aef608f,camara
1141405,eeccb0875b3a84cf4211502b334a4316,camara
1141413,870f208aac3f2ab198e962849fca98ad,camara
1141422,30395c7a4b419079d735f8eed28a41fe,camara
1141422,39873bc6679d7a6349c92cd7c9d974ea,camara
1141433,870f208aac3f2ab198e962849fca98ad,camara
1141447,808d2dec18bd60f246edc20df1cbe442,camara
1141450,55be80a3d1b1a204255237b6f7e5dfc2,camara
1141450,f818cfd11513f851b61a064bc28f29aa,camara
1141451,efe8ebf985e4d5c1272841e27b9f7e9f,camara
1141454,f818cfd11513f851b61a064bc28f29aa,camara
1141459,f818cfd11513f851b61a064bc28f29aa,camara
1141470,eed579c4fd446be90bd1660204e49cd8,camara
1141472,bf906e4e69a3f0864cf079fc194eed1b,camara
