id_tweet,username,text,date,url,reply_count,retweet_count,like_count,quote_count
1378817474615992300,valdecirdelecl1,"@KatiaAbreu Prefiro ver uma doida aqui da minha rua, cada um vê  a doida q quiser",2021-04-04T21:11:17Z,https://twitter.com/Valdecirdelecl1/status/1378817474615992321,0,1,44,0
1376688131290898400,valdecirdelecl1,@KatiaAbreu Mas se falar em Huawei....????,2021-03-30T00:10:02Z,https://twitter.com/Valdecirdelecl1/status/1376688131290898432,1,5,279,0
1376525682184962e3,valdecirdelecl1,@davialcolumbre @KatiaAbreu @SenadoFederal Frouxo,2021-03-29T13:24:31Z,https://twitter.com/Valdecirdelecl1/status/1376525682184962052,0,0,17,0
1368985840320458800,valdecirdelecl1,@KatiaAbreu Parente de político entubado é  castigo,2021-03-08T18:03:53Z,https://twitter.com/Valdecirdelecl1/status/1368985840320458757,0,0,8,0
1364381645227389e3,valdecirdelecl1,@SenadoFederal @KatiaAbreu O filho dela para comissão de mulheres estupradas???,2021-02-24T01:08:27Z,https://twitter.com/Valdecirdelecl1/status/1364381645227388930,0,6,84,0
1363890071838085e3,valdecirdelecl1,@MaikonRamos13 @viniciuslgalo @KatiaAbreu Esporte pra homens e mulheres de fibra,2021-02-22T16:35:07Z,https://twitter.com/Valdecirdelecl1/status/1363890071838085123,0,0,0,0
1363794369506123800,valdecirdelecl1,@KatiaAbreu Exatamente senadora os galos vão para as rinhas sozinhos  Comparação tipo a tabuada do 17,2021-02-22T10:14:50Z,https://twitter.com/Valdecirdelecl1/status/1363794369506123777,7,24,462,1
1331203777794334700,valdecirdelecl1,O filho da senadora @KatiaAbreu que tb é o  senador @irajasenador   Está sendo acusado de estupro   Será q Kátia Abreu vai colocar a culpa na vítima???,2020-11-24T11:51:27Z,https://twitter.com/Valdecirdelecl1/status/1331203777794334722,5,28,136,1
1331005855999742e3,valdecirdelecl1,"Acho que o internamento de Kátia Abreu por covid veio bem a calhar, já que seu filho é  acusado de estupro  Covid salvando explicações além de enriquecer corruptos   E aí @KatiaAbreu ????",2020-11-23T22:44:59Z,https://twitter.com/Valdecirdelecl1/status/1331005855999741954,7,58,247,6
1244617294485037e3,valdecirdelecl1,@KatiaAbreu @gibapere Pra falar a verdade tô nem aí pra vcs,2020-03-30T13:27:41Z,https://twitter.com/Valdecirdelecl1/status/1244617294485037056,1,1,20,0
1230094148293812200,valdecirdelecl1,@KatiaAbreu @alefrota77 @camposmello @folha Falou a mulher honesta??? Sqn,2020-02-19T11:37:53Z,https://twitter.com/Valdecirdelecl1/status/1230094148293812224,0,0,2,0
1167028208803491800,valdecirdelecl1,@KatiaAbreu Tem gente com fogo no rabo!!,2019-08-29T10:56:21Z,https://twitter.com/Valdecirdelecl1/status/1167028208803491840,0,0,17,0
