id_tweet,username,text,date,url,reply_count,retweet_count,like_count,quote_count,mentions
1144231150581366785,katiaabreu,Eu diria que existe o Senado antes e depois de Jucá. Onde a desconfiança de estarmos sendo usados prevalecia. Estamos vivendo período muito positivo no Senado. Temos discordâncias mas os interesses do Brasil estão em primeiro lugar. Líder do Governo é respeitoso aos divergentes.,2019-06-27T13:08:59Z,https://twitter.com/KatiaAbreu/status/1144231150581366785,13,6,86,0,
1144101751613796352,katiaabreu,@jairbolsonaro Flexão igual do Presidente também dou conta de fazer. As do Doria não.,2019-06-27T04:34:48Z,https://twitter.com/KatiaAbreu/status/1144101751613796352,31,12,213,4,jairbolsonaro
1144073486027108352,katiaabreu,@PDTsenado @wevertonrocha @PDT_Nacional Parabéns Sen Weverton pelo projeto! Valeu. Maranhão merece.,2019-06-27T02:42:29Z,https://twitter.com/KatiaAbreu/status/1144073486027108352,1,1,9,0,PDTsenado;wevertonrocha;PDT_Nacional
1144049900474261506,katiaabreu,Aprovamos agora no Senado matéria sobre POSSE de armas no campo. Em 2003 aprovamos o estatuto do desarmamento que permite cada cidadão ter POSSE de arma em casa e no trabalho. E os produtores rurais ficaram de fora. Hoje corrigimos o erro.Agora tudo igual no campo e na cidade.,2019-06-27T01:08:46Z,https://twitter.com/KatiaAbreu/status/1144049900474261506,22,5,91,4,
1143881813980565504,katiaabreu,Começa em SP feira de franquias com 400 marcas; há negócios por R$ 7.990 - 26/06/2019 - UOL Economia https://t.co/PZRCc80KhR,2019-06-26T14:00:51Z,https://twitter.com/KatiaAbreu/status/1143881813980565504,12,0,26,0,
1143505775731662849,katiaabreu,"https://t.co/GCSEYLUTGZ  O Hospital Geral de Palmas (HGP) está fazendo mutirão de endoscopia para atender 70 pacientes que estavam na fila de espera. PARABÉNS PELA PROVIDÊNCIA  A ação conta com a participação de médicos endoscopistas, enfermeiros e técnicos da unidade.",2019-06-25T13:06:36Z,https://twitter.com/KatiaAbreu/status/1143505775731662849,12,2,23,1,
1143502111524773893,katiaabreu,"Só a educação garante o progresso das pessoas. Quem investe numa criança durante 10, 12 anos, vai colher 50 a 60 anos de tranquilidade. Leiam meu artigo hoje no @JornalOGlobo https://t.co/j8s3q8VGfM",2019-06-25T12:52:03Z,https://twitter.com/KatiaAbreu/status/1143502111524773893,17,30,202,6,JornalOGlobo
1142956498013892608,katiaabreu,Viva São João! https://t.co/dauGaiw0G9,2019-06-24T00:43:58Z,https://twitter.com/KatiaAbreu/status/1142956498013892608,125,71,708,131,
1142924980168142849,katiaabreu,https://t.co/8k65nuObVU,2019-06-23T22:38:44Z,https://twitter.com/KatiaAbreu/status/1142924980168142849,36,6,162,7,
1142644070185091073,katiaabreu,@pedromeletti Eu estou . Todo dia uma secretária eletrônica  que liga me tirando do sério. Muitas vezes,2019-06-23T04:02:30Z,https://twitter.com/KatiaAbreu/status/1142644070185091073,9,0,81,2,pedromeletti
