id_proposicao_leggo,id_tema
2b04c7d3b72b0b15bffff99a8ba77725,19
a660e040b697f66ae6459939cbe70d0f,19
5a15038f3cb577eba2ba33920f294cd3,19
f3650a7f244c863c16512591370c454d,18
f8f266efa4b9dc91e4d1407049f5e820,19
a86fb79b8cdf60b50748dc80882f2aed,19
e4d65a5b102848607995970f1c90e3bb,19
c414e3a1ef20d4a42948c5cecbb5d401,19
a8c592e4a00b8816a53b0ab59907a2b5,19
fedb75a55ed2b4e98a5d7b99e6a13fab,19
d83d686c6cd14332642f8015520ac5ef,18
aba9b5dca4b8402d6a9c0c248035af26,19
4853f41abe71bca256b951564ff498ed,19
9149026548f9611f9305fd40827db635,22
9149026548f9611f9305fd40827db635,18
950c947b395cfcefe5bfb5b7af56b3ef,19
25af99ae2a8fa8b6200967bfde6d31d4,19
660c2206d21fee4c2e97bdee149a5018,19
62bb4cf52ca521ada6d5ef6fdf024589,19
87ce7a2c69509ece6fbb75a4c9167588,19
788f344150ddd2488708be7472557efb,19
f2c29f05b428671905d898597aef608f,19
d68c2f3c22492b0b69503bf5af16eb25,24
f1839095e3b9cc6c93969bd54bfb5a99,19
d84d49e854f3c51613f2a70b278100ea,19
5be57624b4f8d7714756bfc51821a65c,19
97b7a90aa032e5efdc5c2c190156ad45,19
45b8fb4ab848952bda01e797a7086572,19
76b53f74f77ad2b3938e678096824a3a,19
55be5dcd2e0febfb39c0dbb11b1867c4,19
c8c83a4dd925592e479fa7d17ae28a9a,19
a0cd3dafaa684e200b15b079ad1536db,19
f47c9b32e81b2003e5cb309c3e3e00ad,19
ac0895d39170e55f4291d527a06f71fc,24
1f3dd954942a5e88c76a392418fc129a,24
0f925a3f704fcb3996b9e0201bc5d154,18
a964162f7f1f44d64b551de56da95129,19
7ea19da3fe9235b0e69cf8e7966a78f2,19
e5df564e8303047d3e5c1b19c9cb21ed,19
5d451a050f63878899b0fb16255f6b5d,19
649451655ccd5eba41acb283febdf3b7,19
4d2aea0715f50ab13c6c52d52511b328,19
f3e98d98cc12924641b81a3412e82dd6,19
aec2459e9c8fca94352e04a2e934e027,19
abf36d44d1d50ae7fe64e740e978eb08,18
abf36d44d1d50ae7fe64e740e978eb08,7
5cabaae949c9c7c500d5bd644285b2c5,19
4ee7926f0c20470f16c4075c4ef98e78,19
256cb0e8e65f6f18c2458128b8056e2a,19
3c8637bee7fc8ea31d224b592ec7413c,19
ab00713e12f6bdd07c85427289106801,18
701b84b9ac90c3025b2f8d75006e67dd,19
56b6836193bcecf355d818e05c65b8bc,19
015039ddfba89303365991b68cdbd4a1,19
d521ddd441e7049ae107f48c9b6c409d,18
ce62d242fdbdd62ef644491a299a50e5,19
8906a280704dd1c8e707d778cea2ff0e,19
2f0dd2baf2721f03ce771381e2dd9443,18
05df5bbba83734ef98febca75a691818,19
cbc6c40c38f04d53d014838a413295af,18
dc8a47d3e5d56251f1d0f01e9558c83e,22
dc8a47d3e5d56251f1d0f01e9558c83e,18
657ef36227791c5254b215bab785aaba,18
4f8398190373ad64fbf62ab437b3decc,19
02eabdfe6de5c71af7fea09a7bf5b29c,19
c759c332a7aa3439606dc0625e39642e,19
2466458ef071de3a0bba5d196e21b115,18
4b4e67d20be9ae6aa4cbce88d18d0478,19
655f5b2623bc5c29c3738daab5ae9edd,18
75bfe7225fcdfbb19530f334b3350229,19
07382dae4fd4c9ebda5149cc561896ee,18
f8e5a09dbaebf4652a60a829cb937efc,19
3270b94d1143b04e4f3ff3e165e8ebd4,19
d7f1e2feb195331291e3cfd7666a34f3,19
2e862aba1df15c626a5f5278312aa5c1,19
8a55a498b20bd484aca237c5e9c2cbb9,24
7629882f7d0236090b08bbee5f60a412,19
73a3cde021d64623f1537b3a5644634d,18
73a3cde021d64623f1537b3a5644634d,22
bff1e9a505d0eee2b74f80b3bd9977e2,19
9d835734ed8be2a01498f29542112183,19
dfb9079d68d7469953b8b9d384fdae7a,19
75a797889d0b514533e85a44e5397ab4,19
b9501919176f8a9a6db812419e9f8d17,19
8b9e6a33b0d10d5aa10bd36cef680448,19
35f1888d7d17cb65140aabe7b9f98534,19
10d06f84d047361e358e6168ee194f01,19
76f4a4e8c75077c80a2346f9ce1879df,19
970b4b5e848e76a4803834281c27cfa6,19
e92223f9c5e4b0694b1149511a6a8fd3,19
dac2e63700dd3bce2182d29e45590413,18
aabde53e691a1c709000946d73ffca26,19
604284c31bbe7d6980e2c589a71d2515,19
a84162fce1a7fca5e33bab1aa35aacaf,19
16f28c3041b72c13a98235313ac16e45,19
3b6dd0da600695a3d7e6fc5c3b584a33,19
f2fa593d2e5894054f699437cdfc1971,19
c318006999bb4146a862425b6cfa8313,19
097a92924fde3d11306762d15f240a54,19
e21dab054eb793a92388b2065392c5e7,24
dc426b6b7f66de4878e5bfba9315549f,19
8719e735f24c060fc7a8509e42535459,18
1b23e5a5a4d2d9c457c7d6b40026c0ae,18
5305e1a0c3f0868f1a997da2dc46f8cc,19
4471047212ada59223aa2627730e2752,19
bd6228f3c09a4f2c9ad2391435b9819e,19
a87bf26e5938e23bdcc89aa02f26e43f,19
92a9ad77a98a6ad546be61861638d877,18
d7bc64c07a4de84c526f9c610cda59ab,19
793822c1ffaa368eb6422c04b83837a3,18
5795d39eef31d0ca3e07c12e9ceda513,19
9da4ff9f8aa8be18c70df428354bfd2b,19
641ec7a093b6f555508bdadbd2fcb0d4,19
3d7bbefb81802e6577d581e3ce49931e,18
e8af8054944f4b865e88f720c35bb9f9,19
d50e1e64f5a683a1e085e0a1060cc78d,19
db0f60d062003deba207dd96030581d9,19
4b5f3d3898b274c4705dc9d32a90ee84,19
b45c908eebe01019727461ef9e146cf6,19
bf1fb21681f414a3a79488f05e0e7566,19
79ec0ae8bb031d02f5bfb8f85e1cf5e3,19
c5eba685682a3b41eea5e72c16f98d5a,18
c5eba685682a3b41eea5e72c16f98d5a,22
726ec9ec39c3540adfd5bb96ffd9f2b3,19
1b863430e00f9f394e93eebaf96aec29,19
768cf67499b8d195caaf647b596ec5a0,19
8ca351bfa42ce06c328f9927764be115,19
3e8950044cb3764f05e0a1ad2456d734,19
0d401227e9bba835c4d40afd15b37012,19
1ec08004053e3d1cd37563b23d26334d,19
528e36f7be0c97bcb1ef9c5ad365af3b,19
4492ccf132e8c3ddb2a0ab1a17f9071d,19
a2f8204ec3923dc49d2a1c82803efe57,19
74dc1d8875af5dffa1a2f4f57e2eb7dd,19
45316bb14535ecfb5341d5513ca66f56,19
23b342a1cb2bfffb4b4848efc90de399,19
1af1bf9b76c4f19825b5d66f20e080f5,19
823b613cf5a86c818be7867ea92b4ffb,19
67ebd6ee2ca3c78a063478e0dd388225,19
55bf4970c56b6757e07a8ea59db6bc27,19
468d219c7647daeb84fd141dc19ec13d,19
fdfc1c53ab0f099926f4d1d5401776ed,19
d4b18b725f0b9a1f51d8b18e4cf5a7e0,18
d4b18b725f0b9a1f51d8b18e4cf5a7e0,7
15d27c8a3e895600fdfdd817553a6770,19
71f3b86fed7ab60589b84eb94503b99c,19
