id_proposicao_leggo,casa,casa_origem,sigla
163de04ed290511d49e6d6cdb09d89d5,camara,camara,PL 1159/2020
f3650a7f244c863c16512591370c454d,camara,camara,PL 3232/2020
7e87117e1b381387de9c875142f9dd25,camara,camara,PL 2603/2020
1ec08004053e3d1cd37563b23d26334d,camara,camara,PL 1909/2020
9dca762a5d24c9643c21b3687257c01b,camara,camara,PL 956/2020
3ecb56c86c23bb46cdd277e675b48b5f,camara,camara,PL 3220/2020
4baddd3a19747de6261783e6ca4d7582,camara,camara,PL 2455/2020
c03e77b32dc55cd4ad80304fb695b32c,senado,camara,MPV 972/2020
d84d49e854f3c51613f2a70b278100ea,camara,camara,PL 1180/2020
cec80148002502e958d645a507a12a29,camara,camara,PEC 439/2018
a52f02bf9bde160a2edaa80e8a66869d,camara,camara,PL 1273/2020
ceb495c4a90f27cf40497d489d12e1cd,camara,camara,PL 1739/2020
18d66a74c15306a3fa35f9ba00c29ea2,camara,camara,MPV 965/2020
76f4a4e8c75077c80a2346f9ce1879df,camara,camara,MPV 952/2020
2ae0402adf09a509fb0d1d8a46280632,camara,camara,PL 1494/2020
1cdecfd90a4e8ebf812c2f8664dd65a0,senado,camara,MPV 997/2020
425268d30c860649b4ec6e9630a728f5,camara,camara,PDL 101/2020
3ab90dcb68f006dfddf740ef611be18d,camara,camara,PL 1318/2020
fc822f1a70ffc888fe9986978337d54a,camara,camara,PL 2565/2019
a2f8204ec3923dc49d2a1c82803efe57,camara,camara,PL 1112/2020
d50e1e64f5a683a1e085e0a1060cc78d,camara,camara,PL 2810/2020
a87bf26e5938e23bdcc89aa02f26e43f,camara,camara,PL 2058/2020
bcac8696f03904da02918b8e7e260dd9,camara,camara,PL 985/2020
356fc4c15a10ee8aa8650fb43de96720,camara,camara,PL 6444/2019
79ed1f21250d33e4199ffda273d36271,camara,camara,PL 1684/2020
082af2dd67a9b98208b61c66a65c2547,camara,camara,PL 2476/2020
e630fd9d042f35b2a688b9a907ac66e3,camara,camara,PL 1558/2020
7872e0b131ef579268363af5cc377cc4,camara,camara,PL 1990/2020
5f736edb278a7fec56e2e63544c62825,camara,camara,PL 1154/2020
65fa629aa98ff8cf2108fff99e4d8c8a,camara,camara,PL 1962/2020
62bb4cf52ca521ada6d5ef6fdf024589,camara,camara,MPV 930/2020
3708a0fb65453380e5591b581033d35f,camara,camara,PL 3887/2020
8da5734330cbe80f1fead7291b2a0fea,camara,camara,PL 3964/2020
f236e211d1f86fb8afdf373d77a9c71c,camara,camara,PL 4752/2019
ed5b51ab8181f4c455f2126ef459fbbe,camara,camara,PL 2789/2020
acd7d04ce97fae1ce6c5cc1cc73dd63d,camara,camara,PL 1905/2020
db55176bbb469639dc16b129627515d8,camara,camara,PL 3117/2020
c8c83a4dd925592e479fa7d17ae28a9a,camara,camara,PLP 167/2020
aca1d119ae12d7ac43b474e43990269e,camara,camara,PL 2159/2020
fdcf2b6c60533ef0f0760fb029cc36fb,camara,camara,PL 1036/2020
e0e795c5e727f9d03398cad1c8d003b8,camara,camara,PL 750/2020
98b96ea6ceca4c920e3770d31a453fd2,camara,camara,PL 693/2020
ab74fd0a33d20a6be8c1274f14cbd2ea,camara,camara,PL 2968/2020
63d11f908ec58e82f3886950c3807fe3,camara,camara,PL 7364/2014
f296ede794b8aecc8fad916bb3c64565,camara,camara,PL 3171/2020
9901beddb12c073bee481f8e8d1cd4c0,camara,camara,PL 2770/2020
86d86b3b94f53f9192d7ab8bcdf47b53,camara,camara,PL 1267/2020
db0f60d062003deba207dd96030581d9,camara,camara,PL 3823/2020
46d482171e61af9480e60eb276aa8096,camara,camara,PL 3114/2020
eeccb0875b3a84cf4211502b334a4316,senado,camara,MPV 927/2020
f11cbc363d206e4e8af8f64f771a519d,senado,camara,MPV 977/2020
916b05c344936c7a0490c2995ebc115c,camara,camara,PL 2080/2020
2f9960c5629a3e520b7b475dc6ccc4a9,senado,camara,MPV 993/2020
9d2e8ab4e2083fb9d5c6d1efc304f842,camara,camara,PL 2807/2020
4dc10a806336a32a92eb07326010fa94,camara,camara,PL 3538/2020
f68848eb3c9393fce88a6b2dfd7b8919,senado,senado,PL 1542/2020
2b2475eac4b0bd50f918639f5bf416af,camara,camara,PL 1462/2020
afc1b6b3de679e56bccdedb225dce0cb,camara,NA,PDC 1154/2018
368a48494a7a66287d6d70ca967ed17a,senado,camara,MPV 995/2020
fe023e3805b6813b31245b69387ee27a,camara,camara,PL 2279/2020
e0483d4d439edf144ac8cb14cf496bf1,camara,camara,MPV 985/2020
6b69b0feb1dffdd387e34705928b9325,camara,camara,PL 1309/2020
556ae3e5173a9d96003aa16281c44f69,senado,senado,PLS 436/2018
583a7a56094144599313ad2ed42a37fb,camara,camara,PL 3263/2020
c759c332a7aa3439606dc0625e39642e,camara,camara,PL 1667/2020
c1c70166fcb5a5d866939da035224055,camara,camara,PL 2394/2020
c11adf16e7290696193023c4db09738b,camara,camara,PL 3501/2020
fa8f37a9cb1681a4775a2416dba73fa5,camara,camara,PL 2558/2020
e92223f9c5e4b0694b1149511a6a8fd3,camara,camara,PL 1995/2020
86f049acfb68df14f82d8280548e24a8,camara,camara,PL 1085/2020
627993e6465b73a30b1e518f70ab0618,senado,senado,PL 1179/2020
1bc118369be59b1c53d00e2c3149ab77,camara,camara,PL 4579/2019
c2c14659e54e1600011367e4d8fe7949,camara,camara,PL 1000/2020
9e8545992cf8214a24ab863a112871d7,camara,camara,PL 3163/2020
dc6845bd5bc48802f30baefadad1bb79,camara,camara,PL 1272/2020
fedb75a55ed2b4e98a5d7b99e6a13fab,camara,camara,PL 2843/2020
aba9b5dca4b8402d6a9c0c248035af26,camara,camara,MPV 931/2020
a73c7c5b9b16b9e4319e94bd54602899,camara,camara,PDL 385/2020
89ce154e0c22c69479594f5718be7b1f,camara,camara,PL 1161/2020
abb6a68697397acd026a7334524144c2,camara,camara,PL 2076/2020
8528dfccd8d5139842137154b982faa8,camara,camara,PL 1709/2020
4bbcdef7ae27fe8a1dde58998e256313,camara,camara,PL 3209/2020
03a5c52dd859ff191cbfab33e3e382e9,camara,camara,PL 1500/2020
8096677c0e523c92c8073934cb7bf402,camara,camara,PL 1291/2020
57da6949221d50910df414997642c8c4,camara,camara,PL 1141/2020
e9dffe88b1ee001eb0ab48e4ee260bf1,camara,camara,PL 1959/2020
7dc7dfb611a97b89dcdc6876004b937d,camara,camara,PL 1429/2020
1d40a4c14752c11d915ca8aa8a505efb,camara,camara,PL 1763/2020
f8e5a09dbaebf4652a60a829cb937efc,camara,camara,PL 1910/2020
4c9055c5a31642082ed2e6aa298dc1c0,camara,camara,PL 1548/2020
96ca45c05b195f690ca3b4b44ff888da,camara,camara,PL 2070/2020
d83d686c6cd14332642f8015520ac5ef,camara,camara,PL 1668/2020
28d238af18823e8928475bb532d5f1bf,camara,camara,PL 1902/2020
e14ef28efe045a8d1d1fb8ac7b5189e5,camara,camara,PL 2262/2020
9a3fbf754561a72bd063df75a732910f,camara,camara,PL 4362/2020
442db560efbe70d32f0a8982fa90dac5,camara,camara,PL 2623/2020
2b181fecc8d5533ca1bc8eae0cf437b4,camara,camara,PL 4689/2019
2606e2a45d9eb4afffd5797d15e95962,camara,camara,PL 4311/2020
1b23e5a5a4d2d9c457c7d6b40026c0ae,camara,camara,PL 623/2020
015039ddfba89303365991b68cdbd4a1,camara,camara,PL 2156/2020
ca18cce08364931e80459c151e29ab5a,camara,camara,MPV 992/2020
33f9158161f50253d875d8466ba35599,senado,senado,PEC 54/2019
a0cd3dafaa684e200b15b079ad1536db,camara,camara,PL 1914/2020
5305e1a0c3f0868f1a997da2dc46f8cc,camara,camara,PL 3664/2020
ce8cae7ab2c17c6d6e4d29aaebb75ab1,camara,camara,PDL 316/2020
72d942c4382ced86cf908fe246f40147,camara,camara,PL 1967/2020
003041d8f9b0ecd595de1b87d0525e7c,camara,camara,PL 4025/2020
dc426b6b7f66de4878e5bfba9315549f,camara,camara,PL 3196/2020
5edfff7bec62f9662b697c104d3d1f06,camara,camara,PL 5069/2019
339a22bc413fbcb8dedfa395e19ca291,camara,camara,PL 898/2020
901ea08b30f5af43b3da90511ece62ff,camara,camara,MPV 959/2020
4853f41abe71bca256b951564ff498ed,camara,camara,PL 2275/2020
41a8feae94bd5adc4a1541782fb206e0,camara,camara,PL 4292/2020
7b45d998a68f2175bd0794ae3ee2f26a,camara,camara,PL 2012/2020
4a28c4bdcc33cda0021e80766e9c04d3,camara,camara,PL 3384/2020
98f8fe958a2955bb77f6fcaa54c24f31,camara,camara,PL 2860/2020
8ea746b0e2baedbbf5e10bb70d2f58d5,camara,camara,PL 1216/2020
ced55ba854e20465027e17b5c46e8ad7,camara,camara,PL 1927/2020
c74a91d21e636676a9e78bbbeb12aebc,camara,camara,PL 3249/2020
767ae884d5681cce69870528ef1e7618,camara,camara,PL 3183/2020
e7b9e882db250a303583207fae599d4e,camara,camara,PL 3548/2020
9d835734ed8be2a01498f29542112183,camara,camara,PL 2090/2020
de00226e3a63b6e45fe3f9e6b0489f87,camara,camara,PL 1650/2020
720eabb0d97cfcf3f982b9d6820e8daf,camara,camara,PL 2060/2020
3873f174d0a89f04379955c58ed03e55,camara,camara,PL 2292/2020
0488cf54635b23d6c243304e072f8c62,camara,camara,PL 3431/2020
5a15038f3cb577eba2ba33920f294cd3,camara,camara,PL 818/2020
72941737315dad53756fc59e763f9396,camara,camara,PL 2160/2020
9104fcae3c644d1e87007b78bebd26b9,senado,senado,PL 669/2019
5be57624b4f8d7714756bfc51821a65c,camara,camara,PL 2529/2020
390f87806fd6c6c14e11b1bc55334f1b,camara,camara,PL 2338/2020
45b8fb4ab848952bda01e797a7086572,camara,camara,PL 2447/2020
5aa3bcbad7c4a5038f8d5b99b33e8e57,camara,NA,PL 8455/2017
3d7bbefb81802e6577d581e3ce49931e,camara,camara,PL 1444/2020
313f73641ab6e17b3acedebdd89806a3,camara,camara,PL 2539/2020
242605a56a771d2e5aacc98a7d39bb20,camara,camara,PL 1483/2020
431c027eb9b1a9755ee05e55685b049d,camara,camara,PL 1729/2020
0047793473c84bd1a1624be14afcde63,camara,camara,PL 945/2020
e6eb68c606da3998fb6a32b13acaa0d9,camara,camara,PL 1340/2020
abf36d44d1d50ae7fe64e740e978eb08,camara,camara,PL 3527/2020
faa28548a976b41a6261f64b7d3e931c,senado,senado,PL 2630/2020
7b55957846b3cf8b933770f076e43ae9,camara,camara,PL 1726/2020
5a7c98cbe272e1fa0b3e4fff8e0aa043,camara,camara,MPV 974/2020
e5f3d504151b9448b8a83ec267297fde,senado,camara,MPV 940/2020
2ef9e7c48bbc23cda17e911c06bacc2a,camara,camara,PL 1490/2020
a331a57a6c5a1df24d2b6742bf241050,senado,senado,PLP 133/2020
f1656ffb5f8dadf7cc6c6ddd3e0cecab,camara,camara,PL 2508/2020
bf1fb21681f414a3a79488f05e0e7566,camara,camara,PL 647/2020
71c2f165d449bab7e2a7897559f31b9c,senado,camara,MPV 991/2020
274a5ffbe703df05a77cba3ca1b48d0d,camara,camara,PL 4085/2020
b0ceafc127cd211c3e90c39d88420219,camara,camara,MPV 945/2020
48d92ce54f8b91e93da58d6ed4255b01,camara,camara,PL 2802/2020
0f925a3f704fcb3996b9e0201bc5d154,camara,camara,MPV 946/2020
f2ae4fae11dc113b9ab55152e334038f,camara,camara,PL 2184/2020
7683ec924d0bf9a54fca1640904e2b99,camara,camara,PL 2892/2020
ce62d242fdbdd62ef644491a299a50e5,camara,camara,PL 2325/2020
808d2dec18bd60f246edc20df1cbe442,camara,camara,PL 6279/2013
2ab2020e8f54325d67edf04e7b8bb81d,camara,camara,PL 2135/2020
b5a501b95cd9572a27f59370db6abf75,camara,camara,PL 820/2020
